paidwork,lwage,men,malay,chinese,indian,age,agesq,gexpr,gexprsq,yprim,ysec,fail,urban,unearn,househ,amtland,unearnx
0,0,0,1,0,0,15,2.25,0,0,6,3,1,0,.000099999997,.15000001,0,0
1,-.044675563,0,1,0,0,32,10.24,20,4,6,0,0,0,.13,.15000001,0,0
1,1.3236003,0,1,0,0,26,6.7600002,6,.36000001,6,8,0,0,0,0,.1,0
0,0,0,1,0,0,33,10.89,21,4.4099998,6,0,0,0,0,0,0,0
0,0,0,1,0,0,18,3.24,1,.0099999998,6,5,0,0,0,.15000001,.60000002,0
1,-.32130781,0,1,0,0,46,21.16,40,16,0,0,0,0,0,.15000001,.60000002,0
0,0,0,1,0,0,23,5.29,8,.63999999,6,3,0,0,0,.15000001,.60000002,0
0,0,0,1,0,0,39,15.21,27,7.29,6,0,0,0,0,.15000001,.5,0
1,-.0038535693,0,0,1,0,47,22.09,41,16.809999,0,0,0,0,0,.80000001,0,0
1,.21928999,0,0,1,0,26,6.7600002,18,3.24,2,0,0,0,0,.80000001,0,0
1,.13797663,0,0,1,0,53,28.09,47,22.09,0,0,0,0,0,.80000001,0,0
0,0,0,0,1,0,60,36,54,29.16,0,0,0,0,0,0,0,0
1,.065139301,0,0,0,1,33,10.89,21,4.4099998,6,0,0,0,0,.80000001,.0099999998,0
0,0,0,0,0,1,52,27.040001,46,21.16,0,0,0,0,0,.80000001,.0099999998,0
1,.94163632,0,0,1,0,29,8.4099998,17,2.8900001,6,0,0,0,0,.80000001,0,1
1,.92568237,0,0,1,0,53,28.09,46,21.16,1,0,0,0,0,.80000001,0,1
0,0,0,0,1,0,23,5.29,11,1.21,6,0,0,0,0,.80000001,0,1
0,0,0,0,0,1,34,11.56,23,5.29,5,0,0,0,.096000001,0,0,0
0,0,0,0,1,0,35,12.25,23,5.29,6,0,0,0,0,.80000001,0,0
1,.30852112,0,0,1,0,34,11.56,19,3.6099999,6,3,1,0,.18000001,.80000001,0,0
1,.95385325,0,0,1,0,26,6.7600002,7,.49000001,6,7,1,0,.18000001,.80000001,0,0
0,0,0,0,0,1,24,5.7600002,12,1.4400001,6,0,0,0,0,.80000001,0,0
0,0,0,0,0,1,46,21.16,38,14.44,2,0,0,0,0,.80000001,0,0
0,0,0,0,0,1,18,3.24,0,0,6,6,0,0,0,.80000001,0,0
1,.60430038,0,0,1,0,20,4,5,.25,6,3,1,0,0,.80000001,0,1
0,0,0,0,1,0,62,38.439999,52,27.040001,4,0,0,0,0,.80000001,0,1
1,.47536671,0,0,1,0,21,4.4099998,6,.36000001,6,3,1,0,0,.80000001,0,1
0,0,0,1,0,0,26,6.7600002,7,.49000001,6,7,0,0,0,0,0,1
1,.48384964,0,0,1,0,38,14.44,29,8.4099998,3,0,0,0,0,.80000001,0,1
0,0,0,0,1,0,39,15.21,30,9,3,0,0,0,0,.80000001,0,1
0,0,0,0,1,0,17,2.8900001,2,.039999999,6,3,0,0,0,.80000001,0,1
0,0,0,0,1,0,15,2.25,2,.039999999,6,1,0,0,0,.80000001,0,1
1,.36935067,0,1,0,0,29,8.4099998,17,2.8900001,6,0,0,0,.18000001,0,.050000001,0
0,0,0,0,1,0,39,15.21,27,7.29,6,0,0,0,.94800001,.80000001,.050000001,0
1,.82032186,0,0,0,1,40,16,28,7.8400002,6,0,0,0,0,0,0,1
0,0,0,0,0,1,17,2.8900001,2,.039999999,6,3,0,0,0,0,0,1
0,0,0,0,0,1,15,2.25,1,.0099999998,6,2,0,0,0,0,0,1
0,0,0,0,1,0,32,10.24,20,4,6,0,0,0,0,.80000001,0,1
1,.84344429,0,1,0,0,25,6.25,8,.63999999,6,5,0,0,0,.80000001,0,0
1,.46197468,0,0,1,0,30,9,13,1.6900001,6,5,1,0,0,.80000001,0,1
0,0,0,1,0,0,30,9,13,1.6900001,6,5,0,0,0,0,0,1
0,0,0,0,0,1,43,18.49,35,12.25,2,0,0,0,0,0,0,1
1,.76933634,0,0,0,1,21,4.4099998,4,.16,6,5,0,0,0,0,0,1
0,0,0,1,0,0,41,16.809999,26,6.7600002,6,3,0,0,0,.80000001,0,0
0,0,0,1,0,0,15,2.25,0,0,6,3,0,0,0,.80000001,0,0
1,1.7540044,0,1,0,0,27,7.29,7,.49000001,6,8,0,0,.1225,0,.5,0
1,.86018646,0,0,0,1,28,7.8400002,11,1.21,6,5,0,0,0,0,0,1
0,0,0,0,0,1,60,36,52,27.040001,2,0,0,0,0,0,0,1
0,0,0,0,1,0,55,30.25,49,24.01,0,0,0,0,0,.80000001,1,0
0,0,0,0,0,1,36,12.96,25,6.25,5,0,0,0,0,0,0,0
1,.68929362,0,0,0,1,17,2.8900001,6,.36000001,5,0,0,0,0,0,0,0
1,.68929362,0,0,0,1,17,2.8900001,6,.36000001,5,0,0,0,0,0,0,0
1,.27377817,0,0,0,1,16,2.5599999,4,.16,6,0,0,0,0,0,0,0
0,0,0,0,0,1,23,5.29,11,1.21,6,0,0,0,0,0,0,0
0,0,0,1,0,0,26,6.7600002,9,.81,6,5,0,0,0,0,.029999999,0
0,0,0,0,1,0,49,24.01,37,13.69,6,0,0,0,0,.80000001,0,1
0,0,0,0,1,0,16,2.5599999,1,.0099999998,6,3,0,0,0,.80000001,0,1
0,0,0,0,1,0,15,2.25,1,.0099999998,6,2,0,0,0,.80000001,0,1
0,0,0,1,0,0,30,9,15,2.25,6,3,0,0,0,0,0,1
0,0,0,0,0,1,25,6.25,13,1.6900001,6,0,0,0,.003,0,0,0
0,0,0,0,0,1,20,4,3,.090000004,6,5,1,0,.003,0,0,0
0,0,0,0,1,0,25,6.25,8,.63999999,6,5,1,0,0,.80000001,0,1
1,1.0233821,0,1,0,0,34,11.56,24,5.7600002,4,0,0,0,0,0,0,1
0,0,0,1,0,0,28,7.8400002,11,1.21,6,5,0,0,0,0,0,1
0,0,0,0,1,0,41,16.809999,27,7.29,6,2,0,0,0,.80000001,0,1
1,-.0038535693,0,1,0,0,33,10.89,22,4.8400002,5,0,0,0,.0048000002,.80000001,.5,0
0,0,0,1,0,0,53,28.09,47,22.09,0,0,0,0,.0048000002,.80000001,.5,0
0,0,0,1,0,0,15,2.25,6,.36000001,3,0,0,0,.0048000002,.80000001,.5,0
0,0,0,1,0,0,16,2.5599999,7,.49000001,3,0,0,0,.0048000002,.80000001,.5,0
1,1.913069,0,1,0,0,28,7.8400002,6,.36000001,6,10,0,0,0,.80000001,0,0
1,.73011559,0,0,1,0,33,10.89,21,4.4099998,6,0,0,0,0,.80000001,0,1
1,.40715173,0,0,0,1,22,4.8400002,7,.49000001,6,3,1,0,0,0,0,0
0,0,0,0,0,1,40,16,29,8.4099998,5,0,0,0,0,0,0,0
1,.58393312,0,0,0,1,20,4,3,.090000004,6,5,0,0,0,0,0,0
1,1.7189131,0,1,0,0,26,6.7600002,4,.16,6,10,0,0,0,0,0,1
1,.42048001,0,0,1,0,27,7.29,15,2.25,6,0,0,0,0,.80000001,0,0
0,0,0,0,1,0,50,25,44,19.360001,0,0,0,0,0,.80000001,0,0
0,0,0,0,1,0,29,8.4099998,17,2.8900001,6,0,0,0,0,0,0,0
0,0,0,0,0,1,25,6.25,3,.090000004,6,10,0,0,0,0,.30000001,0
0,0,0,0,1,0,26,6.7600002,14,1.96,6,0,0,0,0,0,0,1
1,2.670295,0,1,0,0,36,12.96,16,2.5599999,6,8,0,0,.050000001,0,.2,0
1,.38963535,0,1,0,0,21,4.4099998,4,.16,6,5,0,0,.050000001,0,.2,0
0,0,0,0,1,0,35,12.25,26,6.7600002,3,0,0,0,0,.80000001,0,0
1,.36652023,0,1,0,0,24,5.7600002,7,.49000001,6,5,0,0,0,.80000001,0,0
0,0,0,1,0,0,45,20.25,33,10.89,6,0,0,0,0,.80000001,0,0
1,1.0947587,0,1,0,0,47,22.09,36,12.96,5,0,0,0,0,.80000001,0,0
1,.87161517,0,1,0,0,20,4,1,.0099999998,6,7,0,0,0,.80000001,0,0
1,-.60169059,0,0,0,1,21,4.4099998,4,.16,6,5,0,0,0,0,0,0
1,.17846799,0,0,0,1,24,5.7600002,9,.81,6,3,0,0,0,0,0,0
0,0,0,0,1,0,31,9.6099997,19,3.6099999,6,0,0,0,0,.80000001,0,0
0,0,0,1,0,0,47,22.09,35,12.25,6,0,0,0,0,.34999999,.30000001,0
1,-.0038535693,0,1,0,0,24,5.7600002,7,.49000001,6,5,0,0,0,.34999999,.30000001,0
0,0,0,0,1,0,24,5.7600002,11,1.21,6,1,0,0,0,0,0,0
1,.46615005,0,1,0,0,39,15.21,24,5.7600002,6,3,0,0,0,.34999999,.1,0
0,0,0,1,0,0,37,13.69,25,6.25,6,0,0,0,.0020000001,.34999999,.1,0
1,.4886229,0,1,0,0,39,15.21,29,8.4099998,4,0,0,0,0,.40000001,0,0
0,0,0,1,0,0,15,2.25,5,.25,4,0,0,0,0,.40000001,0,0
0,0,0,1,0,0,18,3.24,7,.49000001,5,0,0,0,0,.40000001,0,0
0,0,0,1,0,0,38,14.44,26,6.7600002,6,0,0,0,0,.40000001,.1,0
0,0,0,1,0,0,15,2.25,1,.0099999998,6,2,0,0,0,.40000001,.1,0
1,.40161154,0,1,0,0,49,24.01,37,13.69,6,0,0,0,0,.5,.5,0
0,0,0,1,0,0,34,11.56,25,6.25,3,0,0,0,0,.5,.5,0
0,0,0,1,0,0,27,7.29,15,2.25,6,0,0,0,0,0,.029999999,0
0,0,0,1,0,0,45,20.25,33,10.89,6,0,0,0,0,0,0,0
0,0,0,0,0,1,34,11.56,23,5.29,5,0,0,0,0,0,0,1
1,.50910312,0,1,0,0,22,4.8400002,5,.25,6,5,1,1,.00030000001,0,0,0
0,0,0,1,0,0,45,20.25,33,10.89,6,0,0,1,0,0,0,0
